# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
C	AUFDTLIRA/20200306-Kanig/spark2014bench/S531-010__loop_frame_condition__do_loops.adb_131_19_index_check___00.smt2	36	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no d
C	AUFDTLIRA/20200306-Kanig/spark2014bench/S531-010__loop_frame_condition__do_loops.adb_47_13_index_check___00.smt2	36	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no d
C	AUFDTLIRA/20200306-Kanig/spark2014bench/S531-010__loop_frame_condition__do_loops.adb_82_26_null_pointer_dereference___00.smt2	36	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/S702-024__record_attributes_in_allocators__test_constrained.adb_45_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: a datatype field sort with no expansion variable (native datatype solving expands Bool/BitVec/Int/Real, uninterpreted sorts, and arrays whose component sorts mention no d
C	AUFDTLIRA/20200306-Kanig/spark2014bench/S702-024__record_attributes_in_allocators__test_constrained.adb_45_22_assert___00.smt2	18	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #2559 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	AUFDTLIRA/20200306-Kanig/spark2014bench/SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2	13	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/SB07-003__crash__a-cfdlli.ads_610_49_database.adb_10_4_overflow_check___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
C	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	109	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
C	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	29	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p_max_array.adb_56_25_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p_max_array.adb_56_25_index_check___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__ring_buffer.adb_27_60_overflow_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__stack.adb_42_18_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
F	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_105_33_loop_invariant_preserv___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_105_33_loop_invariant_preserv___00.smt2	18	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_105_33_loop_invariant_preserv___00.smt2	2	DTRES-CENSUS narrow_sites=0 wide_sites=2 narrow_pairs=0 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_159_25_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_159_25_null_pointer_dereference___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_159_25_null_pointer_dereference___00.smt2	4	DTRES-CENSUS narrow_sites=12 wide_sites=15 narrow_pairs=5 wide_pairs=8 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=3 ctor_exact=10 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=1 other_kinds=DtSelect { constructor: ConstructorId ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_159_25_null_pointer_dereference___00.smt2	8	DTRES-CENSUS narrow_sites=16 wide_sites=22 narrow_pairs=29 wide_pairs=44 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=6 ctor_inexact=0 apply_exact=0 apply_inexact=3 other=4 other_kinds=DtSelect { constructor: ConstructorId ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_159_25_null_pointer_dereference___00.smt2	4	DTRES-CENSUS narrow_sites=29 wide_sites=36 narrow_pairs=45 wide_pairs=66 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=2 sym_inexact=4 ctor_exact=14 ctor_inexact=0 apply_exact=1 apply_inexact=3 other=8 other_kinds=DtSelect { constructor: ConstructorId ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_159_25_null_pointer_dereference___00.smt2	12	DTRES-CENSUS narrow_sites=6 wide_sites=9 narrow_pairs=0 wide_pairs=3 dtres_funcs=2 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=6 ctor_inexact=0 apply_exact=1 apply_inexact=0 other=1 other_kinds=DtSelect { constructor: ConstructorId ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_25_35_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_25_35_index_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_25_35_index_check___00.smt2	16	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_25_35_index_check___00.smt2	2	DTRES-CENSUS narrow_sites=0 wide_sites=2 narrow_pairs=0 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2	18	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2	2	DTRES-CENSUS narrow_sites=0 wide_sites=2 narrow_pairs=0 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	16	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	2	DTRES-CENSUS narrow_sites=0 wide_sites=2 narrow_pairs=0 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.ads_33_52_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.ads_33_52_overflow_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.ads_33_52_overflow_check___00.smt2	16	DTRES-CENSUS narrow_sites=0 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.ads_33_52_overflow_check___00.smt2	2	DTRES-CENSUS narrow_sites=0 wide_sites=2 narrow_pairs=0 wide_pairs=1 dtres_funcs=1 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/longest_common_prefix__lcp.adb_21_30_loop_invariant_init___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/n_queens__queen.ads_53_44_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_16_13_loop_invariant_init___00.smt2	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("cardindex")])])
F	AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_86_45_index_check___00.smt2	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("cardindex")])])
F	AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.ads_92_45_index_check___00.smt2	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("cardindex")])])
F	AUFDTLIRA/20200306-Kanig/spark2014bench/prime_numbers__prime_and_coprime_numbers.ads_100_27_test_prime_and_coprime_numbers.adb_6_4_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__array_aggregates__array_aggregates.adb_309_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__array_applications__why_0df1aa_array_applications-T-defqtvc__00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
F	AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__arrays__arrays.adb_161_16_index_check___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
C	AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__arrays__arrays.adb_161_16_index_check___00.smt2	117	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__arrays_of_records__arrays_of_records.adb_264_22_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: a datatype constructor survives read-over-construct elimination (only `is`/`select` over free datatype variables are supported) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__arrays_of_records__arrays_of_records.adb_264_22_postcondition___00.smt2	24	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
F	AUFDTLIRA/20200306-Kanig/spark2014bench/riposte__simple_arrays__simple_arrays.adb_674_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	2	DTRES-CENSUS narrow_sites=19 wide_sites=19 narrow_pairs=29 wide_pairs=29 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=36 ctor_inexact=10 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	4	DTRES-CENSUS narrow_sites=22 wide_sites=22 narrow_pairs=47 wide_pairs=47 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=40 ctor_inexact=12 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	2	DTRES-CENSUS narrow_sites=23 wide_sites=23 narrow_pairs=47 wide_pairs=47 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=44 ctor_inexact=12 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	8	DTRES-CENSUS narrow_sites=7 wide_sites=7 narrow_pairs=4 wide_pairs=4 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=12 ctor_inexact=4 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	8	DTRES-CENSUS narrow_sites=17 wide_sites=17 narrow_pairs=29 wide_pairs=29 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=40 ctor_inexact=7 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	2	DTRES-CENSUS narrow_sites=49 wide_sites=49 narrow_pairs=249 wide_pairs=249 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=112 ctor_inexact=21 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	4	DTRES-CENSUS narrow_sites=53 wide_sites=53 narrow_pairs=308 wide_pairs=308 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=116 ctor_inexact=24 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	2	DTRES-CENSUS narrow_sites=54 wide_sites=54 narrow_pairs=308 wide_pairs=308 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=120 ctor_inexact=24 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/string_search__string_search.adb_48_94_overflow_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/string_search__string_search.adb_48_94_overflow_check___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/string_search__string_search.adb_90_64_range_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/string_search__string_search.adb_90_64_range_check___00.smt2	1	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/tagged_stacks__stacks.adb_17_19_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
